TABLE	NV3_DUAL_EX_BP_V2_004781				
WAVE	0.58	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.581	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.582	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.583	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.584	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.585	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.586	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.587	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.588	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.589	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.59	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.591	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.592	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.593	1.00E+00	1.00E+00	0.00E+00	1.40E-07
WAVE	0.594	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.595	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.596	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.597	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.598	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.599	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.6	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.601	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.602	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.603	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.604	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.605	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.606	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.607	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.608	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.609	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.61	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.611	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.612	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.613	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.614	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.615	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.616	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.617	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.618	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.619	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.62	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.621	1.00E+00	1.00E+00	0.00E+00	2.00E-08
WAVE	0.622	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.623	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.624	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.625	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.626	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.627	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.628	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.629	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.63	1.00E+00	1.00E+00	0.00E+00	1.00E-08
WAVE	0.631	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.632	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.633	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.634	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.635	1.00E+00	1.00E+00	0.00E+00	2.00E-08
WAVE	0.636	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.637	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.638	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.639	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.64	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.641	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.642	1.00E+00	1.00E+00	0.00E+00	2.00E-08
WAVE	0.643	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.644	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.645	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.646	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.647	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.648	1.00E+00	1.00E+00	0.00E+00	9.00E-08
WAVE	0.649	1.00E+00	1.00E+00	0.00E+00	2.00E-08
WAVE	0.65	1.00E+00	1.00E+00	0.00E+00	1.00E-08
WAVE	0.651	1.00E+00	1.00E+00	0.00E+00	1.00E-08
WAVE	0.652	1.00E+00	1.00E+00	0.00E+00	1.00E-08
WAVE	0.653	1.00E+00	1.00E+00	0.00E+00	5.00E-08
WAVE	0.654	1.00E+00	1.00E+00	0.00E+00	8.30E-07
WAVE	0.655	1.00E+00	1.00E+00	0.00E+00	4.81E-06
WAVE	0.656	1.00E+00	9.98E-01	0.00E+00	1.63E-03
WAVE	0.657	1.00E+00	1.00E+00	0.00E+00	3.40E-07
WAVE	0.658	1.00E+00	1.00E+00	0.00E+00	7.00E-08
WAVE	0.659	1.00E+00	1.00E+00	0.00E+00	4.00E-08
WAVE	0.66	1.00E+00	1.00E+00	0.00E+00	4.00E-08
WAVE	0.661	1.00E+00	1.00E+00	0.00E+00	5.00E-08
WAVE	0.662	1.00E+00	1.00E+00	0.00E+00	1.30E-07
WAVE	0.663	1.00E+00	1.00E+00	0.00E+00	8.00E-07
WAVE	0.664	1.00E+00	1.00E+00	0.00E+00	3.63E-05
WAVE	0.665	1.00E+00	1.00E+00	0.00E+00	9.62E-06
WAVE	0.666	1.00E+00	1.00E+00	0.00E+00	6.00E-05
WAVE	0.667	1.00E+00	1.00E+00	0.00E+00	1.05E-06
WAVE	0.668	1.00E+00	1.00E+00	0.00E+00	3.10E-07
WAVE	0.669	1.00E+00	1.00E+00	0.00E+00	2.00E-07
WAVE	0.67	1.00E+00	1.00E+00	0.00E+00	2.10E-07
WAVE	0.671	1.00E+00	1.00E+00	0.00E+00	3.80E-07
WAVE	0.672	1.00E+00	1.00E+00	0.00E+00	1.53E-06
WAVE	0.673	1.00E+00	1.00E+00	0.00E+00	3.99E-04
WAVE	0.674	1.00E+00	1.00E+00	0.00E+00	4.97E-06
WAVE	0.675	1.00E+00	1.00E+00	0.00E+00	3.07E-06
WAVE	0.676	1.00E+00	1.00E+00	0.00E+00	6.79E-06
WAVE	0.677	1.00E+00	1.00E+00	0.00E+00	8.80E-05
WAVE	0.678	1.00E+00	1.00E+00	0.00E+00	1.32E-05
WAVE	0.679	1.00E+00	1.00E+00	0.00E+00	7.68E-06
WAVE	0.68	1.00E+00	1.00E+00	0.00E+00	1.90E-05
WAVE	0.681	1.00E+00	1.00E+00	0.00E+00	2.51E-05
WAVE	0.682	1.00E+00	1.00E+00	0.00E+00	3.87E-06
WAVE	0.683	1.00E+00	1.00E+00	0.00E+00	1.95E-06
WAVE	0.684	1.00E+00	1.00E+00	0.00E+00	2.10E-06
WAVE	0.685	1.00E+00	1.00E+00	0.00E+00	5.64E-06
WAVE	0.686	1.00E+00	1.00E+00	0.00E+00	8.63E-05
WAVE	0.687	1.00E+00	1.00E+00	0.00E+00	4.18E-06
WAVE	0.688	1.00E+00	1.00E+00	0.00E+00	1.60E-06
WAVE	0.689	1.00E+00	1.00E+00	0.00E+00	1.41E-06
WAVE	0.69	1.00E+00	1.00E+00	0.00E+00	2.50E-06
WAVE	0.691	1.00E+00	1.00E+00	0.00E+00	1.72E-05
WAVE	0.692	1.00E+00	1.00E+00	0.00E+00	2.74E-05
WAVE	0.693	1.00E+00	1.00E+00	1.00E-08	4.36E-06
WAVE	0.694	1.00E+00	1.00E+00	0.00E+00	3.44E-06
WAVE	0.695	1.00E+00	1.00E+00	0.00E+00	3.98E-06
WAVE	0.696	1.00E+00	1.00E+00	0.00E+00	1.43E-06
WAVE	0.697	1.00E+00	1.00E+00	0.00E+00	4.60E-07
WAVE	0.698	1.00E+00	1.00E+00	0.00E+00	2.40E-07
WAVE	0.699	1.00E+00	1.00E+00	0.00E+00	1.80E-07
WAVE	0.7	1.00E+00	1.00E+00	0.00E+00	1.90E-07
WAVE	0.701	1.00E+00	1.00E+00	0.00E+00	3.00E-07
WAVE	0.702	1.00E+00	1.00E+00	0.00E+00	1.05E-06
WAVE	0.703	1.00E+00	1.00E+00	0.00E+00	8.53E-05
WAVE	0.704	1.00E+00	1.00E+00	0.00E+00	9.50E-07
WAVE	0.705	1.00E+00	1.00E+00	0.00E+00	3.20E-07
WAVE	0.706	1.00E+00	1.00E+00	0.00E+00	2.10E-07
WAVE	0.707	1.00E+00	1.00E+00	0.00E+00	2.20E-07
WAVE	0.708	1.00E+00	1.00E+00	0.00E+00	3.00E-07
WAVE	0.709	1.00E+00	1.00E+00	0.00E+00	6.10E-07
WAVE	0.71	1.00E+00	1.00E+00	0.00E+00	2.06E-06
WAVE	0.711	1.00E+00	1.00E+00	0.00E+00	1.84E-05
WAVE	0.712	1.00E+00	1.00E+00	0.00E+00	4.56E-05
WAVE	0.713	1.00E+00	1.00E+00	0.00E+00	1.87E-05
WAVE	0.714	1.00E+00	1.00E+00	0.00E+00	1.32E-05
WAVE	0.715	1.00E+00	1.00E+00	0.00E+00	6.26E-06
WAVE	0.716	1.00E+00	1.00E+00	0.00E+00	3.56E-06
WAVE	0.717	1.00E+00	1.00E+00	0.00E+00	3.38E-06
WAVE	0.718	1.00E+00	1.00E+00	0.00E+00	7.02E-06
WAVE	0.719	1.00E+00	1.00E+00	0.00E+00	2.75E-04
WAVE	0.72	1.00E+00	1.00E+00	0.00E+00	5.13E-06
WAVE	0.721	1.00E+00	1.00E+00	0.00E+00	1.16E-06
WAVE	0.722	1.00E+00	1.00E+00	0.00E+00	5.60E-07
WAVE	0.723	1.00E+00	1.00E+00	0.00E+00	4.00E-07
WAVE	0.724	1.00E+00	1.00E+00	0.00E+00	3.90E-07
WAVE	0.725	1.00E+00	1.00E+00	0.00E+00	4.80E-07
WAVE	0.726	1.00E+00	1.00E+00	0.00E+00	7.90E-07
WAVE	0.727	1.00E+00	1.00E+00	0.00E+00	1.79E-06
WAVE	0.728	1.00E+00	1.00E+00	0.00E+00	6.38E-06
WAVE	0.729	1.00E+00	1.00E+00	0.00E+00	5.54E-05
WAVE	0.73	1.00E+00	9.98E-01	0.00E+00	2.36E-03
WAVE	0.731	1.00E+00	1.00E+00	0.00E+00	2.95E-04
WAVE	0.732	1.00E+00	1.00E+00	0.00E+00	2.14E-04
WAVE	0.733	1.00E+00	1.00E+00	0.00E+00	1.33E-04
WAVE	0.734	1.00E+00	1.00E+00	0.00E+00	6.23E-05
WAVE	0.735	1.00E+00	1.00E+00	0.00E+00	1.04E-05
WAVE	0.736	1.00E+00	1.00E+00	0.00E+00	2.23E-06
WAVE	0.737	1.00E+00	1.00E+00	0.00E+00	7.40E-07
WAVE	0.738	1.00E+00	1.00E+00	0.00E+00	3.40E-07
WAVE	0.739	1.00E+00	1.00E+00	0.00E+00	2.00E-07
WAVE	0.74	1.00E+00	1.00E+00	0.00E+00	1.40E-07
WAVE	0.741	1.00E+00	1.00E+00	0.00E+00	1.20E-07
WAVE	0.742	1.00E+00	1.00E+00	0.00E+00	1.20E-07
WAVE	0.743	1.00E+00	1.00E+00	0.00E+00	1.50E-07
WAVE	0.744	1.00E+00	1.00E+00	0.00E+00	2.10E-07
WAVE	0.745	1.00E+00	1.00E+00	0.00E+00	4.00E-07
WAVE	0.746	1.00E+00	1.00E+00	0.00E+00	9.90E-07
WAVE	0.747	1.00E+00	1.00E+00	0.00E+00	3.46E-06
WAVE	0.748	1.00E+00	1.00E+00	0.00E+00	6.28E-06
WAVE	0.749	1.00E+00	1.00E+00	0.00E+00	3.95E-06
WAVE	0.75	1.00E+00	1.00E+00	0.00E+00	3.34E-06
WAVE	0.751	1.00E+00	1.00E+00	0.00E+00	4.29E-06
WAVE	0.752	1.00E+00	1.00E+00	0.00E+00	7.36E-06
WAVE	0.753	1.00E+00	1.00E+00	0.00E+00	9.46E-06
WAVE	0.754	1.00E+00	1.00E+00	0.00E+00	6.15E-06
WAVE	0.755	1.00E+00	1.00E+00	0.00E+00	4.02E-06
WAVE	0.756	1.00E+00	1.00E+00	0.00E+00	3.42E-06
WAVE	0.757	1.00E+00	1.00E+00	0.00E+00	3.78E-06
WAVE	0.758	1.00E+00	1.00E+00	0.00E+00	5.27E-06
WAVE	0.759	1.00E+00	1.00E+00	0.00E+00	9.05E-06
WAVE	0.76	1.00E+00	1.00E+00	0.00E+00	1.83E-05
WAVE	0.761	1.00E+00	1.00E+00	0.00E+00	3.84E-05
WAVE	0.762	1.00E+00	1.00E+00	0.00E+00	4.39E-05
WAVE	0.763	1.00E+00	1.00E+00	0.00E+00	1.94E-05
WAVE	0.764	1.00E+00	1.00E+00	0.00E+00	8.12E-06
WAVE	0.765	1.00E+00	1.00E+00	0.00E+00	4.31E-06
WAVE	0.766	1.00E+00	1.00E+00	0.00E+00	2.91E-06
WAVE	0.767	1.00E+00	1.00E+00	0.00E+00	2.45E-06
WAVE	0.768	1.00E+00	1.00E+00	0.00E+00	2.57E-06
WAVE	0.769	1.00E+00	1.00E+00	0.00E+00	3.45E-06
WAVE	0.77	1.00E+00	1.00E+00	0.00E+00	6.31E-06
WAVE	0.771	1.00E+00	1.00E+00	0.00E+00	1.81E-05
WAVE	0.772	1.00E+00	1.00E+00	0.00E+00	5.19E-05
WAVE	0.773	1.00E+00	1.00E+00	0.00E+00	2.01E-05
WAVE	0.774	1.00E+00	1.00E+00	0.00E+00	8.95E-06
WAVE	0.775	1.00E+00	1.00E+00	0.00E+00	6.14E-06
WAVE	0.776	1.00E+00	1.00E+00	0.00E+00	5.62E-06
WAVE	0.777	1.00E+00	1.00E+00	0.00E+00	6.32E-06
WAVE	0.778	1.00E+00	1.00E+00	0.00E+00	8.28E-06
WAVE	0.779	1.00E+00	1.00E+00	0.00E+00	1.17E-05
WAVE	0.78	1.00E+00	1.00E+00	0.00E+00	1.57E-05
WAVE	0.781	1.00E+00	1.00E+00	0.00E+00	1.66E-05
WAVE	0.782	1.00E+00	1.00E+00	0.00E+00	1.32E-05
WAVE	0.783	1.00E+00	1.00E+00	0.00E+00	9.29E-06
WAVE	0.784	1.00E+00	1.00E+00	0.00E+00	6.78E-06
WAVE	0.785	1.00E+00	1.00E+00	0.00E+00	5.61E-06
WAVE	0.786	1.00E+00	1.00E+00	0.00E+00	5.54E-06
WAVE	0.787	1.00E+00	1.00E+00	0.00E+00	6.80E-06
WAVE	0.788	1.00E+00	1.00E+00	0.00E+00	1.07E-05
WAVE	0.789	1.00E+00	1.00E+00	0.00E+00	1.61E-05
WAVE	0.79	1.00E+00	1.00E+00	0.00E+00	1.01E-05
WAVE	0.791	1.00E+00	1.00E+00	0.00E+00	4.37E-06
WAVE	0.792	1.00E+00	1.00E+00	0.00E+00	2.30E-06
WAVE	0.793	1.00E+00	1.00E+00	0.00E+00	1.52E-06
WAVE	0.794	1.00E+00	1.00E+00	0.00E+00	1.22E-06
WAVE	0.795	1.00E+00	1.00E+00	0.00E+00	1.16E-06
WAVE	0.796	1.00E+00	1.00E+00	0.00E+00	1.29E-06
WAVE	0.797	1.00E+00	1.00E+00	0.00E+00	1.70E-06
WAVE	0.798	1.00E+00	1.00E+00	0.00E+00	2.66E-06
WAVE	0.799	1.00E+00	1.00E+00	0.00E+00	4.80E-06
WAVE	0.8	1.00E+00	1.00E+00	0.00E+00	8.09E-06
ANGL	50				
WAVE	0.4	1.00E+00	9.86E-01	0.00E+00	1.38E-02
WAVE	0.401	1.00E+00	6.34E-01	0.00E+00	3.66E-01
WAVE	0.402	1.00E+00	2.58E-01	0.00E+00	7.42E-01
WAVE	0.403	1.00E+00	9.86E-01	0.00E+00	1.42E-02
WAVE	0.404	1.00E+00	9.22E-01	0.00E+00	7.83E-02
WAVE	0.405	1.00E+00	9.41E-01	0.00E+00	5.94E-02
WAVE	0.406	1.00E+00	6.50E-01	1.00E-08	3.50E-01
WAVE	0.407	1.00E+00	5.97E-01	1.00E-08	4.03E-01
WAVE	0.408	1.00E+00	8.10E-01	3.00E-08	1.90E-01
WAVE	0.409	1.00E+00	4.63E-01	1.20E-07	5.37E-01
WAVE	0.41	1.00E+00	7.03E-01	4.56E-06	2.97E-01
WAVE	0.411	1.00E+00	5.69E-01	6.99E-06	4.31E-01
WAVE	0.412	1.00E+00	2.10E-01	3.99E-06	7.90E-01
WAVE	0.413	1.00E+00	4.82E-01	9.65E-06	5.18E-01
WAVE	0.414	1.00E+00	5.04E-01	4.23E-04	4.96E-01
WAVE	0.415	1.00E+00	4.72E-01	3.18E-04	5.28E-01
WAVE	0.416	9.99E-01	5.46E-01	7.26E-04	4.54E-01
WAVE	0.417	9.85E-01	4.28E-01	1.47E-02	5.72E-01
WAVE	0.418	4.87E-01	1.55E-01	5.13E-01	8.45E-01
WAVE	0.419	4.83E-01	1.39E-01	5.17E-01	8.61E-01
WAVE	0.42	7.03E-01	2.11E-01	2.97E-01	7.89E-01
WAVE	0.421	7.28E-02	8.93E-02	9.27E-01	9.11E-01
WAVE	0.422	4.30E-01	3.58E-02	5.70E-01	9.64E-01
WAVE	0.423	4.61E-01	3.05E-01	5.39E-01	6.95E-01
WAVE	0.424	5.24E-01	3.75E-01	4.76E-01	6.25E-01
WAVE	0.425	9.02E-01	2.29E-01	9.76E-02	7.71E-01
WAVE	0.426	9.98E-01	2.64E-01	1.67E-03	7.36E-01
WAVE	0.427	1.00E+00	2.58E-01	7.44E-05	7.42E-01
WAVE	0.428	1.00E+00	2.70E-01	5.35E-06	7.30E-01
WAVE	0.429	1.00E+00	9.80E-02	4.90E-07	9.02E-01
WAVE	0.43	1.00E+00	1.49E-01	5.00E-08	8.51E-01
WAVE	0.431	1.00E+00	8.13E-02	1.00E-08	9.19E-01
WAVE	0.432	1.00E+00	6.53E-02	0.00E+00	9.35E-01
WAVE	0.433	1.00E+00	9.85E-01	0.00E+00	1.54E-02
WAVE	0.434	1.00E+00	9.99E-01	0.00E+00	5.74E-04
WAVE	0.435	1.00E+00	1.00E+00	0.00E+00	5.05E-05
WAVE	0.436	1.00E+00	1.00E+00	0.00E+00	7.03E-06
WAVE	0.437	1.00E+00	1.00E+00	0.00E+00	1.32E-06
WAVE	0.438	1.00E+00	1.00E+00	0.00E+00	3.10E-07
WAVE	0.439	1.00E+00	1.00E+00	0.00E+00	9.00E-08
WAVE	0.44	1.00E+00	1.00E+00	0.00E+00	3.00E-08
WAVE	0.441	1.00E+00	1.00E+00	0.00E+00	1.00E-08
WAVE	0.442	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.443	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.444	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.445	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.446	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.447	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.448	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.449	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.45	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.451	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.452	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.453	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.454	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.455	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.456	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.457	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.458	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.459	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.46	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.461	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.462	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.463	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.464	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.465	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.466	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.467	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.468	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.469	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.47	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.471	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.472	1.00E+00	1.00E+00	0.00E+00	0.00E+00
WAVE	0.473	1.00E+00	1.00E+00	0.00E+00	1.00E-08
WAVE	0.474	1.00E+00	1.00E+00	0.00E+00	1.00E-08
WAVE	0.475	1.00E+00	1.00E+00	0.00E+00	4.00E-08
WAVE	0.476	1.00E+00	1.00E+00	0.00E+00	1.10E-07
WAVE	0.477	1.00E+00	1.00E+00	0.00E+00	3.50E-07
WAVE	0.478	1.00E+00	1.00E+00	0.00E+00	1.27E-06
WAVE	0.479	1.00E+00	1.00E+00	0.00E+00	5.41E-06
WAVE	0.48	1.00E+00	1.00E+00	0.00E+00	2.85E-05
WAVE	0.481	1.00E+00	1.00E+00	0.00E+00	2.01E-04
WAVE	0.482	1.00E+00	9.98E-01	0.00E+00	2.31E-03
WAVE	0.483	1.00E+00	9.06E-01	0.00E+00	9.42E-02
WAVE	0.484	1.00E+00	7.05E-01	0.00E+00	2.95E-01
WAVE	0.485	1.00E+00	6.70E-01	0.00E+00	3.30E-01
WAVE	0.486	1.00E+00	2.54E-01	0.00E+00	7.46E-01
WAVE	0.487	1.00E+00	2.75E-02	0.00E+00	9.72E-01
WAVE	0.488	1.00E+00	3.28E-02	0.00E+00	9.67E-01
WAVE	0.489	1.00E+00	3.42E-02	0.00E+00	9.66E-01
WAVE	0.49	1.00E+00	5.84E-02	0.00E+00	9.42E-01
WAVE	0.491	1.00E+00	1.33E-01	0.00E+00	8.67E-01
WAVE	0.492	1.00E+00	1.21E-01	0.00E+00	8.79E-01
WAVE	0.493	1.00E+00	4.34E-02	0.00E+00	9.57E-01
WAVE	0.494	1.00E+00	8.02E-02	0.00E+00	9.20E-01
WAVE	0.495	1.00E+00	7.79E-02	0.00E+00	9.22E-01
WAVE	0.496	1.00E+00	4.55E-02	0.00E+00	9.54E-01
WAVE	0.497	1.00E+00	3.53E-02	0.00E+00	9.65E-01
WAVE	0.498	1.00E+00	1.68E-02	1.00E-08	9.83E-01
WAVE	0.499	1.00E+00	5.26E-02	6.00E-08	9.47E-01
WAVE	0.5	1.00E+00	4.17E-02	4.10E-07	9.58E-01
WAVE	0.501	1.00E+00	3.61E-02	2.71E-06	9.64E-01
WAVE	0.502	1.00E+00	7.74E-02	2.34E-05	9.23E-01
WAVE	0.503	1.00E+00	6.53E-02	3.03E-04	9.35E-01
WAVE	0.504	9.91E-01	2.68E-02	9.24E-03	9.73E-01
WAVE	0.505	6.28E-01	1.94E-02	3.72E-01	9.81E-01
WAVE	0.506	8.04E-01	2.65E-02	1.96E-01	9.73E-01
WAVE	0.507	6.09E-01	3.80E-02	3.91E-01	9.62E-01
WAVE	0.508	2.60E-01	6.54E-02	7.40E-01	9.35E-01
WAVE	0.509	8.26E-01	6.57E-02	1.74E-01	9.34E-01
WAVE	0.51	9.81E-01	2.22E-02	1.91E-02	9.78E-01
WAVE	0.511	9.96E-01	4.66E-02	4.24E-03	9.53E-01
WAVE	0.512	9.99E-01	8.98E-02	1.10E-03	9.10E-01
WAVE	0.513	1.00E+00	5.72E-02	2.23E-04	9.43E-01
WAVE	0.514	1.00E+00	2.43E-02	5.56E-05	9.76E-01
WAVE	0.515	1.00E+00	1.15E-01	1.89E-05	8.85E-01
WAVE	0.516	1.00E+00	2.66E-01	1.05E-05	7.34E-01
WAVE	0.517	1.00E+00	2.67E-01	2.03E-06	7.33E-01
WAVE	0.518	1.00E+00	1.86E-01	4.30E-07	8.14E-01
WAVE	0.519	1.00E+00	2.68E-01	4.20E-07	7.32E-01
WAVE	0.52	1.00E+00	3.09E-01	2.10E-07	6.91E-01
WAVE	0.521	1.00E+00	2.98E-01	1.00E-08	7.02E-01
WAVE	0.522	1.00E+00	4.36E-01	0.00E+00	5.64E-01
WAVE	0.523	1.00E+00	6.88E-01	0.00E+00	3.12E-01
WAVE	0.524	1.00E+00	7.91E-01	1.00E-08	2.09E-01
WAVE	0.525	1.00E+00	6.87E-01	0.00E+00	3.13E-01
WAVE	0.526	1.00E+00	5.52E-01	0.00E+00	4.48E-01
WAVE	0.527	1.00E+00	8.95E-01	0.00E+00	1.05E-01
WAVE	0.528	1.00E+00	9.53E-01	0.00E+00	4.71E-02
WAVE	0.529	1.00E+00	9.62E-01	0.00E+00	3.76E-02
WAVE	0.53	1.00E+00	9.47E-01	0.00E+00	5.27E-02
WAVE	0.531	1.00E+00	8.55E-01	0.00E+00	1.45E-01
WAVE	0.532	1.00E+00	6.90E-01	0.00E+00	3.10E-01
WAVE	0.533	1.00E+00	9.34E-01	0.00E+00	6.65E-02
WAVE	0.534	1.00E+00	9.85E-01	0.00E+00	1.45E-02
WAVE	0.535	1.00E+00	9.92E-01	0.00E+00	8.16E-03
WAVE	0.536	1.00E+00	9.96E-01	0.00E+00	3.57E-03
WAVE	0.537	1.00E+00	9.99E-01	0.00E+00	1.00E-03
WAVE	0.538	1.00E+00	9.99E-01	0.00E+00	5.57E-04
WAVE	0.539	1.00E+00	9.99E-01	0.00E+00	6.29E-04
WAVE	0.54	1.00E+00	9.99E-01	0.00E+00	9.39E-04
WAVE	0.541	1.00E+00	9.97E-01	0.00E+00	3.11E-03
WAVE	0.542	1.00E+00	1.00E+00	0.00E+00	1.87E-04
WAVE	0.543	1.00E+00	1.00E+00	0.00E+00	3.58E-05
WAVE	0.544	1.00E+00	1.00E+00	0.00E+00	3.51E-05
WAVE	0.545	1.00E+00	1.00E+00	0.00E+00	4.85E-05
WAVE	0.546	1.00E+00	1.00E+00	0.00E+00	1.98E-06
WAVE	0.547	1.00E+00	1.00E+00	0.00E+00	4.70E-07
WAVE	0.548	1.00E+00	1.00E+00	0.00E+00	2.70E-07
WAVE	0.549	1.00E+00	1.00E+00	0.00E+00	3.60E-07
WAVE	0.55	1.00E+00	1.00E+00	0.00E+00	3.16E-06
WAVE	0.551	1.00E+00	1.00E+00	0.00E+00	3.90E-07
WAVE	0.552	1.00E+00	1.00E+00	0.00E+00	1.10E-07
WAVE	0.553	1.00E+00	1.00E+00	0.00E+00	1.00E-07
WAVE	0.554	1.00E+00	1.00E+00	0.00E+00	2.80E-07
WAVE	0.555	1.00E+00	1.00E+00	0.00E+00	1.40E-07
